resume_uploaded,karma,batch_resume_uploaded_pct,event_fomo_score,should_nudge_resume,should_nudge_event
1,485.0,69,0.82,0,1
0,327.0,61,0.82,0,1
1,372.0,87,0.5,0,0
0,465.0,71,0.92,0,1
0,318.0,89,0.71,1,1
1,360.0,68,0.89,0,1
0,193.0,91,0.64,1,1
0,360.0,89,0.1,1,0
0,291.0,75,0.21,0,0
0,259.0,78,0.4,0,0
0,267.0,73,0.59,0,1
1,20.0,94,0.62,0,1
1,192.0,67,0.4,0,1
1,237.0,95,0.36,0,0
1,171.0,74,0.49,0,1
0,434.0,87,0.75,0,1
0,289.0,72,0.2,0,0
1,242.0,74,0.77,0,0
0,351.0,95,0.33,1,0
1,224.0,80,0.28,0,0
0,463.0,71,0.54,0,1
1,504.0,90,0.78,0,1
0,424.0,73,0.35,0,0
0,349.0,78,0.69,0,1
0,118.0,69,0.79,0,1
1,97.0,80,0.88,0,1
1,124.0,84,0.65,0,1
0,154.0,71,0.61,0,1
1,221.0,94,0.36,0,0
1,298.0,86,0.35,0,0
1,368.0,63,0.68,0,1
1,177.0,88,0.51,1,1
1,331.0,61,0.91,0,1
0,342.0,76,0.84,0,1
1,301.0,69,0.62,0,1
0,210.0,77,0.32,0,0
1,131.0,92,0.44,0,0
0,303.0,71,0.6,0,1
1,249.0,83,0.41,0,1
0,259.0,71,0.57,0,1
0,83.0,85,0.77,1,1
0,159.0,61,0.16,0,1
1,110.0,68,0.39,0,0
1,463.0,75,0.58,0,1
0,137.0,72,0.73,0,1
0,78.0,80,0.45,0,0
1,393.0,61,0.51,0,1
1,143.0,91,0.65,0,1
0,307.0,73,0.2,0,0
0,293.0,90,0.88,1,1
1,524.0,67,0.33,0,0
1,338.0,94,0.61,0,1
0,111.0,87,0.4,1,0
0,337.0,91,0.68,1,1
1,99.0,81,0.59,0,1
1,206.0,77,0.72,0,1
0,124.0,77,0.58,0,1
1,93.0,75,0.76,0,1
1,139.0,85,0.89,0,1
0,192.0,88,0.53,1,1
1,311.0,67,0.79,0,1
0,113.0,79,0.61,0,1
0,276.0,92,0.53,1,0
0,255.0,93,0.66,0,1
0,87.0,79,0.67,0,1
1,305.0,66,0.33,0,0
1,265.0,90,0.41,0,0
0,422.0,87,0.74,1,1
0,516.0,86,0.63,1,1
0,455.0,70,0.65,0,1
0,421.0,72,0.31,1,0
0,424.0,60,0.63,0,1
0,392.0,89,0.84,1,1
0,246.0,70,0.45,0,0
1,207.0,70,0.85,0,1
0,94.0,67,0.63,0,1
0,189.0,62,0.87,0,1
0,79.0,72,0.56,0,1
1,193.0,93,0.37,0,0
0,495.0,90,0.62,1,1
1,83.0,92,0.35,0,0
0,162.0,70,0.82,0,1
0,303.0,87,0.63,1,1
1,334.0,65,0.85,0,1
0,387.0,89,0.54,1,1
0,455.0,84,0.6,1,1
1,216.0,72,0.79,0,1
1,368.0,77,0.29,0,1
1,405.0,71,0.46,0,0
0,436.0,94,0.84,1,1
1,118.0,71,0.54,0,0
0,424.0,64,0.76,0,1
0,173.0,86,0.48,1,0
0,196.0,92,0.74,1,1
0,360.0,62,0.65,0,1
0,304.0,63,0.22,0,0
0,398.0,92,0.38,0,0
1,406.0,61,0.43,0,0
0,330.0,73,0.47,0,0
1,130.0,76,0.24,0,0
0,128.0,65,0.76,0,1
0,108.0,81,0.58,1,1
0,511.0,82,0.26,1,0
1,390.0,75,0.41,0,0
1,401.0,67,0.73,0,0
1,472.0,69,0.75,0,1
0,481.0,88,0.54,1,1
1,388.0,87,0.83,0,1
1,240.0,64,0.45,0,1
1,245.0,71,0.29,0,0
1,487.0,89,0.43,0,0
0,118.0,72,0.85,0,1
1,309.0,83,0.61,0,1
0,198.0,91,0.76,1,1
1,398.0,62,0.87,0,1
0,120.0,95,0.73,1,1
0,104.0,95,0.74,1,1
1,182.0,95,0.69,0,1
1,366.0,73,0.68,0,1
0,289.0,95,0.79,1,1
1,93.0,75,0.84,0,1
1,348.0,62,0.57,0,1
1,172.0,81,0.51,0,0
1,197.0,70,0.81,0,1
0,453.0,74,0.22,0,0
0,198.0,64,0.42,0,0
0,121.0,63,0.86,0,1
0,123.0,82,0.93,1,1
1,203.0,94,0.19,0,0
0,350.0,74,0.72,0,1
0,354.0,67,0.81,0,1
1,158.0,84,0.71,0,1
